19:09:27 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_12k', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.0', 'train.max_steps=12000']
19:51:24 INFO    qar.training.trainer | new best val/recall@1=0.2493
19:52:13 INFO    qar.training.trainer | step   5100 | loss=2.8476 nce=2.8476 acc=0.2452 grad_norm=2.4332 lr=0.0002 steps_per_s=1.8770 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:53:01 INFO    qar.training.trainer | step   5200 | loss=2.8376 nce=2.8376 acc=0.2526 grad_norm=2.4442 lr=0.0002 steps_per_s=2.0732 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:53:50 INFO    qar.training.trainer | step   5300 | loss=2.8124 nce=2.8124 acc=0.2576 grad_norm=2.4376 lr=0.0002 steps_per_s=2.0113 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:54:39 INFO    qar.training.trainer | step   5400 | loss=2.8391 nce=2.8391 acc=0.2538 grad_norm=2.4262 lr=0.0002 steps_per_s=2.0802 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:55:28 INFO    qar.training.trainer | step   5500 | loss=2.8194 nce=2.8194 acc=0.2549 grad_norm=2.4414 lr=0.0002 steps_per_s=2.0292 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:56:16 INFO    qar.training.trainer | step   5600 | loss=2.6084 nce=2.6084 acc=0.2980 grad_norm=2.5827 lr=0.0002 steps_per_s=2.0600 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:57:05 INFO    qar.training.trainer | step   5700 | loss=2.5656 nce=2.5656 acc=0.2973 grad_norm=2.6646 lr=0.0002 steps_per_s=2.0649 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:57:54 INFO    qar.training.trainer | step   5800 | loss=2.5935 nce=2.5935 acc=0.2936 grad_norm=2.6687 lr=0.0002 steps_per_s=2.0340 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:58:42 INFO    qar.training.trainer | step   5900 | loss=2.5880 nce=2.5880 acc=0.2936 grad_norm=2.6718 lr=0.0002 steps_per_s=2.0754 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:59:32 INFO    qar.training.trainer | step   6000 | loss=2.5907 nce=2.5907 acc=0.2944 grad_norm=2.6596 lr=0.0002 steps_per_s=2.0192 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
19:59:35 INFO    qar.training.trainer | step   6000 | EVAL val/loss=2.7973 val/mrr=0.4216 val/recall@1=0.2493 val/recall@5=0.6418 val/recall@10=0.7688 val/mean_rank=9.9307
20:00:25 INFO    qar.training.trainer | step   6100 | loss=2.6153 nce=2.6153 acc=0.2909 grad_norm=2.6732 lr=0.0002 steps_per_s=1.8833 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:01:14 INFO    qar.training.trainer | step   6200 | loss=2.6129 nce=2.6129 acc=0.2898 grad_norm=2.6644 lr=0.0002 steps_per_s=2.0415 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:02:02 INFO    qar.training.trainer | step   6300 | loss=2.5894 nce=2.5894 acc=0.2938 grad_norm=2.7197 lr=0.0002 steps_per_s=2.0528 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
