20:53:30 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_mt05', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.5', 'train.max_steps=12000']
21:19:36 INFO    qar.training.trainer | step   5000 | EVAL val/loss=2.7921 val/mrr=0.4217 val/recall@1=0.2500 val/recall@5=0.6345 val/recall@10=0.7671 val/mean_rank=9.9507 val/ans_bce=0.5739 val/ans_acc=0.7102 val/ans_precision=0.7233 val/ans_recall=0.9042 val/ans_f1=0.8028
21:19:37 INFO    qar.training.trainer | new best val/recall@1=0.2500
21:20:07 INFO    qar.training.trainer | step   5100 | loss=3.1267 nce=2.8258 acc=0.2474 ans_bce=0.6017 grad_norm=2.4903 lr=0.0002 steps_per_s=2.8806 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:20:38 INFO    qar.training.trainer | step   5200 | loss=3.1116 nce=2.8129 acc=0.2534 ans_bce=0.5973 grad_norm=2.5142 lr=0.0002 steps_per_s=3.2395 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:21:09 INFO    qar.training.trainer | step   5300 | loss=3.1047 nce=2.8026 acc=0.2564 ans_bce=0.6042 grad_norm=2.4857 lr=0.0002 steps_per_s=3.2416 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:21:40 INFO    qar.training.trainer | step   5400 | loss=3.1205 nce=2.8205 acc=0.2535 ans_bce=0.5998 grad_norm=2.4894 lr=0.0002 steps_per_s=3.2321 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:22:11 INFO    qar.training.trainer | step   5500 | loss=3.1012 nce=2.8014 acc=0.2531 ans_bce=0.5996 grad_norm=2.5025 lr=0.0002 steps_per_s=3.2292 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:22:42 INFO    qar.training.trainer | step   5600 | loss=2.8873 nce=2.5913 acc=0.2963 ans_bce=0.5920 grad_norm=2.6540 lr=0.0002 steps_per_s=3.2246 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:23:12 INFO    qar.training.trainer | step   5700 | loss=2.8401 nce=2.5439 acc=0.3028 ans_bce=0.5924 grad_norm=2.7280 lr=0.0002 steps_per_s=3.2690 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:23:43 INFO    qar.training.trainer | step   5800 | loss=2.8641 nce=2.5677 acc=0.3005 ans_bce=0.5927 grad_norm=2.7377 lr=0.0002 steps_per_s=3.2466 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:24:14 INFO    qar.training.trainer | step   5900 | loss=2.8613 nce=2.5637 acc=0.3025 ans_bce=0.5951 grad_norm=2.7541 lr=0.0002 steps_per_s=3.2545 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:24:45 INFO    qar.training.trainer | step   6000 | loss=2.8646 nce=2.5689 acc=0.2968 ans_bce=0.5913 grad_norm=2.7263 lr=0.0002 steps_per_s=3.2350 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:24:48 INFO    qar.training.trainer | step   6000 | EVAL val/loss=2.7754 val/mrr=0.4293 val/recall@1=0.2581 val/recall@5=0.6475 val/recall@10=0.7729 val/mean_rank=9.7278 val/ans_bce=0.5708 val/ans_acc=0.7136 val/ans_precision=0.7344 val/ans_recall=0.8834 val/ans_f1=0.8011
21:24:49 INFO    qar.training.trainer | new best val/recall@1=0.2581
21:25:20 INFO    qar.training.trainer | step   6100 | loss=2.8913 nce=2.5910 acc=0.2986 ans_bce=0.6004 grad_norm=2.7238 lr=0.0002 steps_per_s=2.8289 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:25:51 INFO    qar.training.trainer | step   6200 | loss=2.8822 nce=2.5866 acc=0.2945 ans_bce=0.5913 grad_norm=2.7397 lr=0.0002 steps_per_s=3.2317 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:26:22 INFO    qar.training.trainer | step   6300 | loss=2.8668 nce=2.5722 acc=0.2978 ans_bce=0.5892 grad_norm=2.7735 lr=0.0002 steps_per_s=3.2541 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:26:53 INFO    qar.training.trainer | step   6400 | loss=2.8526 nce=2.5571 acc=0.3049 ans_bce=0.5909 grad_norm=2.7749 lr=0.0001 steps_per_s=3.2602 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:27:23 INFO    qar.training.trainer | step   6500 | loss=2.8426 nce=2.5458 acc=0.3076 ans_bce=0.5936 grad_norm=2.7811 lr=0.0001 steps_per_s=3.2621 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:27:54 INFO    qar.training.trainer | step   6600 | loss=2.8577 nce=2.5620 acc=0.3027 ans_bce=0.5915 grad_norm=2.7581 lr=0.0001 steps_per_s=3.2806 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:28:25 INFO    qar.training.trainer | step   6700 | loss=2.8481 nce=2.5516 acc=0.2972 ans_bce=0.5930 grad_norm=2.7521 lr=0.0001 steps_per_s=3.2205 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:28:56 INFO    qar.training.trainer | step   6800 | loss=2.8235 nce=2.5301 acc=0.3063 ans_bce=0.5868 grad_norm=2.7479 lr=0.0001 steps_per_s=3.2322 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:29:27 INFO    qar.training.trainer | step   6900 | loss=2.8094 nce=2.5165 acc=0.3097 ans_bce=0.5858 grad_norm=2.7546 lr=0.0001 steps_per_s=3.2346 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:29:58 INFO    qar.training.trainer | step   7000 | loss=2.8149 nce=2.5212 acc=0.3068 ans_bce=0.5873 grad_norm=2.7420 lr=0.0001 steps_per_s=3.2305 mem/alloc_mib=6558.0034 mem/reserved_mib=7754.0000
21:30:01 INFO    qar.training.trainer | step   7000 | EVAL val/loss=2.7276 val/mrr=0.4357 val/recall@1=0.2617 val/recall@5=0.6587 val/recall@10=0.7834 val/mean_rank=9.2046 val/ans_bce=0.5741 val/ans_acc=0.7063 val/ans_precision=0.7161 val/ans_recall=0.9148 val/ans_f1=0.8025
21:30:02 INFO    qar.training.trainer | new best val/recall@1=0.2617
